text,is_quote_status,retweet_count,favorite_count,favorited,retweeted,username
Here’s to Strong Women...May we know them May we be them May we raise them #internationalwomensday ❤️ https://t.co/etna6iT7vv,False,44,2245,False,False,lisarinna
So honored to be here celebrating @Andy receiving his ⭐️ Tune in now https://t.co/p1Ura0AXFj,False,11,406,False,False,lisarinna
It’s that time of the year again... Send me those TAGLINE suggestions !!🙌🏽💋I love seeing what you guys come up with! #rhobh #bravo,False,36,1300,False,False,lisarinna
"Love, love, LOVE this! 💋 https://t.co/p7TPzhcwse",True,10,142,False,False,lisarinna
@TheOnlyHunty 💋,False,1,18,False,False,lisarinna
@APabloIsForever @rinnabeauty 💋,False,0,2,False,False,lisarinna
RT @rinnabeauty: You ready to turn heads? Meet our NEW Showstopper Lip Kit ✨ A mesmerizing set with cool brown and shimmering gold tones. A…,False,4,0,False,False,lisarinna
#showstopper 💋💄1.12.22https://t.co/Vbtzu08o2k #rinnabeauty https://t.co/nEtBLGdd78,False,16,359,False,False,lisarinna
@whitneywildrose @Bethenny @SonjatMorgan @LisaVanderpump @KyleRichards 💋,False,2,50,False,False,lisarinna
@worm_breath 💋,False,0,33,False,False,lisarinna
@rabgraham18 Well Thank You! 💋,False,0,9,False,False,lisarinna
My ❤️🌎❤️ https://t.co/YKA1edOpt8,False,17,2218,False,False,lisarinna
💎💎💎💎💎💎💎💎💎💎💎💎#rhobh https://t.co/vzHKBcSWB7,False,71,2754,False,False,lisarinna
Such a fun season of #TheMaskedSinger with so much talent!! Looking forward to next season @MaskedSingerFOX 😘@FOXTV,False,4,42,False,False,lisarinna
@JennyMcCarthy Yep,False,0,9,False,False,lisarinna
@ferentinos_j @MaskedSingerFOX I do! I believe i recognize her voice 😉,False,0,0,False,False,lisarinna
Who’s gonna win the Golden Ear trophy?!? Let’s go @kenjeong #TheMaskedSinger,False,9,73,False,False,lisarinna
I hope these #TheMaskedSinger backup dancers have a tik tok to show off these moves. I mean nobody works harder are you kidding me??,False,5,87,False,False,lisarinna
The #QueenOfHeartsMask has been wearing a crown this entire season. Exactly where it belongs!! #themaskedsinger 👑👑👑,False,8,67,False,False,lisarinna
Well done #Bullmask. You went up against some serious talent this season!! #TheMaskedSinger #ad,False,1,18,False,False,lisarinna
@ramjet71 @MaskedSingerFOX I think those are really good guesses!,False,0,2,False,False,lisarinna
@salukijean Go back and watch it!!,False,0,0,False,False,lisarinna
@BombshellNana Thank you 🙏🏼,False,0,2,False,False,lisarinna
We all need #QueenOfHeartsMask microphone! Did you notice it?! It’s fabulous!! #themaskedsinger #ad,False,2,25,False,False,lisarinna
#QueenOfHeartsMask is so incredibly talented wow ✨❤️#themaskedsinger #ad,False,5,41,False,False,lisarinna
Do we think #QueenOfHeartsMask will do the splits as enthusiastically as the #Bullmask does? 🤔#themaskedsinger #ad,False,4,36,False,False,lisarinna
@ChristinaMilian @NicoleScherzy @JennyMcCarthy Both dresses are gorg,False,0,7,False,False,lisarinna
Which judge’s outfit do you like best? #TheMaskedSinger #ad,False,1,8,False,False,lisarinna
@Iamflyguy Oh!,False,0,0,False,False,lisarinna
@LindaFr28991797 I agree,False,0,1,False,False,lisarinna
@_vegasmel_ ❤️,False,0,1,False,False,lisarinna
How does #BullMask dance like that in those hooves??? #TheMaskedSinger #Ad https://t.co/oxCb25Fr1H,False,7,93,False,False,lisarinna
@ShawnShamrock Yep!,False,0,1,False,False,lisarinna
@Amanda44198021 ❤️,False,0,0,False,False,lisarinna
I won’t tweet any spoilers!! #TheMaskedSinger https://t.co/DQvkirpULg,True,5,31,False,False,lisarinna
@marleysgrandma1 Hahaha well here’s an actual tweet 😘,False,0,1,False,False,lisarinna
@kschro2991 @MaskedSingerFOX 😍😍,False,0,1,False,False,lisarinna
@MsLAM2u I really appreciate this tweet Lauren. Thank you for the kind words. ❤️,False,0,3,False,False,lisarinna
@tamrajudgeOC @MaskedSingerFOX 😂,False,2,4,False,False,lisarinna
@HeiligMissy I think maybe Jewel?  How about you? #TheMaskedSinger,False,0,3,False,False,lisarinna
@kinderedspirit6 @NickCannon ❤️,False,0,0,False,False,lisarinna
The #QueenOfHeartsMask needs to put out a holiday album right now. #TheMaskedSinger,False,8,89,False,False,lisarinna
@shortyb79 @todrick Oh!,False,0,1,False,False,lisarinna
I’m really enjoying this chic red suit @NickCannon #TheMaskedSinger #ad,False,3,15,False,False,lisarinna
@Xo27Coco You too 😘,False,0,1,False,False,lisarinna
@WarthogBarbie Hi Justin!,False,0,3,False,False,lisarinna
Call it now! Who’s going to win tonight? #TheMaskedSinger #ad,False,6,26,False,False,lisarinna
@kinderedspirit6 👏🏼👏🏼👏🏼,False,0,0,False,False,lisarinna
The 2 hour season finale of @maskedsingerfox is starting in 5 mins! Who's watching and tweeting with me?… https://t.co/Ozn5H2KLUv,False,3,56,False,False,lisarinna
@murielthequeen ❤️,False,1,14,False,False,lisarinna
@mariokiki ❤️,False,0,3,False,False,lisarinna
"I don’t want to spoil the unmasking for the West Coast, but let me just say: WEST COAST, TUNE IN TONIGHT! Such a go… https://t.co/9CtyqVI803",False,13,108,False,False,lisarinna
I’m not ready for either #BananaSplitMask or #QueenOfHeartsMask to go home 🥺 #themaskedsinger,False,6,46,False,False,lisarinna
@JennyMcCarthy @kenjeong You’ll find a way. I have faith in both of you!!,False,1,1,False,False,lisarinna
#QueenOfHeartsMask and @NicoleScherzy THAT. WAS. INCREDIBLE. What a performance! #TheMaskedSinger,False,10,73,False,False,lisarinna
@graceinspaaace 😂😂,False,0,1,False,False,lisarinna
@secretbravofan 😏,False,0,3,False,False,lisarinna
@DrewOC2000 Good one!,False,0,1,False,False,lisarinna
@DrunkSlut Hi Rose!,False,0,2,False,False,lisarinna
@ItsTheSituation @JennyMcCarthy @robinthicke https://t.co/Hw5m54H8LH,False,1,8,False,False,lisarinna
